,countries,cost_living_index
0,Bermuda,144.9
1,Switzerland,131.4
2,Iceland,124.0
3,Norway,113.7
4,Bahamas,100.7
5,Luxembourg,96.6
6,Denmark,93.3
7,Singapore,91.4
8,Japan,86.6
9,Israel,86.5
10,Ireland,85.4
11,Australia,84.3
12,France,83.9
13,Sweden,83.7
14,New Zealand,83.4
15,Belgium,83.3
16,South Korea,82.9
17,Netherlands,82.7
18,Finland,81.7
19,Austria,81.5
20,Italy,79.1
21,Hong Kong,78.7
22,United Kingdom,75.8
23,Germany,74.3
24,United States,73.0
25,Canada,72.5
26,Malta,70.9
27,United Arab Emirates,67.2
28,Puerto Rico,67.0
29,Uruguay,66.9
30,Taiwan,65.4
31,Qatar,65.4
32,Greece,63.2
33,Spain,61.8
34,Jamaica,60.6
35,Cyprus,60.3
36,Lebanon,60.2
37,Ghana,59.8
38,Slovenia,59.6
39,Bahrain,59.6
40,Palestine,58.2
41,Estonia,57.6
42,Kuwait,56.9
43,Costa Rica,56.2
44,Portugal,55.9
45,Chile,55.2
46,Jordan,55.1
47,Croatia,55.1
48,Mauritius,55.0
49,Trinidad And Tobago,54.6
50,Argentina,53.7
51,Latvia,53.4
52,Lithuania,53.2
53,Panama,52.4
54,Brazil,51.3
55,Slovakia,50.4
56,Czech Republic,50.1
57,Zimbabwe,49.5
58,Oman,49.3
59,Thailand,48.9
60,Hungary,48.6
61,South Africa,48.1
62,Dominican Republic,47.9
63,El Salvador,47.9
64,Saudi Arabia,47.9
65,Ethiopia,47.5
66,Guatemala,46.9
67,Zambia,46.5
68,Cambodia,45.9
69,Poland,45.2
70,Tanzania,45.0
71,Malaysia,44.7
72,China,44.6
73,Montenegro,44.4
74,Ecuador,44.3
75,Honduras,44.3
76,Russia,43.9
77,Iraq,43.9
78,Turkey,41.8
79,Bulgaria,41.2
80,Indonesia,39.7
81,Romania,39.7
82,Peru,39.6
83,Serbia,39.6
84,Vietnam,39.4
85,Bosnia And Herzegovina,39.3
86,Kenya,38.7
87,Albania,37.9
88,Morocco,37.1
89,Bolivia,36.5
90,Philippines,36.0
91,Colombia,35.3
92,North Macedonia,34.8
93,Nigeria,34.7
94,Iran,34.6
95,Sri Lanka,34.3
96,Kazakhstan,34.3
97,Belarus,34.1
98,Mexico,33.6
99,Armenia,33.5
100,Moldova,33.1
101,Uganda,32.7
102,Nepal,32.6
103,Venezuela,32.2
104,Algeria,32.1
105,Bangladesh,32.0
106,Azerbaijan,30.6
107,Georgia,29.7
108,Kosovo (Disputed Territory),29.4
109,Syria,27.8
110,Tunisia,27.7
111,India,26.9
112,Ukraine,26.0
113,Egypt,25.7
114,Pakistan,25.1
