,countries,cost_living_index
0,Switzerland,122.4
1,Norway,101.4
2,Iceland,100.5
3,Japan,83.3
4,Denmark,83.0
5,Bahamas,82.5
6,Luxembourg,81.9
7,Israel,81.2
8,Singapore,81.1
9,South Korea,78.2
10,Hong Kong,77.2
11,Barbados,76.0
12,Ireland,75.9
13,France,74.1
14,Netherlands,73.7
15,Australia,73.5
16,New Zealand,72.5
17,Belgium,71.8
18,Seychelles,71.6
19,United States,71.1
20,Austria,70.4
21,Finland,70.3
22,Sweden,69.8
23,Canada,67.6
24,Puerto Rico,67.5
25,Malta,67.5
26,United Kingdom,67.3
27,Italy,67.3
28,Germany,65.3
29,Macao,64.8
30,Qatar,64.0
31,United Arab Emirates,62.0
32,Taiwan,61.4
33,Lebanon,60.5
34,Bahrain,58.9
35,Cyprus,57.9
36,Jamaica,57.8
37,Greece,55.7
38,Zimbabwe,55.3
39,Palestine,54.5
40,Ethiopia,54.4
41,Panama,54.2
42,Costa Rica,54.0
43,Spain,53.8
44,Trinidad And Tobago,53.7
45,Jordan,53.7
46,Slovenia,53.4
47,Mauritius,53.0
48,Uruguay,51.0
49,Estonia,50.9
50,Kuwait,50.4
51,Thailand,49.8
52,Croatia,49.7
53,Portugal,49.5
54,Oman,49.3
55,Belize,49.2
56,Saudi Arabia,48.3
57,Latvia,47.9
58,Cambodia,47.5
59,Fiji,47.5
60,Czech Republic,46.1
61,El Salvador,45.6
62,Brunei,44.7
63,Nicaragua,44.6
64,Slovakia,44.5
65,Lithuania,44.3
66,Dominican Republic,44.1
67,Chile,43.6
68,Cuba,43.5
69,Suriname,43.1
70,Namibia,43.1
71,South Africa,42.9
72,Guatemala,42.7
73,Honduras,42.2
74,Myanmar,42.1
75,Ecuador,41.0
76,Hungary,40.9
77,Brazil,40.2
78,Kenya,40.2
79,China,40.0
80,Poland,40.0
81,Russia,39.2
82,Botswana,39.1
83,Malaysia,39.1
84,Iraq,39.0
85,Iran,39.0
86,Somalia,38.7
87,Peru,38.7
88,Vietnam,38.3
89,Montenegro,38.2
90,Ghana,37.6
91,Philippines,37.6
92,Indonesia,37.3
93,Bulgaria,36.7
94,Albania,36.4
95,Bosnia And Herzegovina,36.0
96,Mexico,35.7
97,Serbia,35.7
98,Romania,35.3
99,Tanzania,35.3
100,Belarus,34.7
101,Turkey,34.7
102,Bolivia,34.6
103,Morocco,34.3
104,Moldova,33.7
105,Rwanda,33.3
106,Ukraine,33.2
107,Argentina,33.0
108,Armenia,32.8
109,Bangladesh,32.3
110,Zambia,31.7
111,Sri Lanka,31.6
112,North Macedonia,31.6
113,Paraguay,31.1
114,Nigeria,31.0
115,Colombia,30.7
116,Kazakhstan,30.6
117,Uganda,30.2
118,Algeria,30.1
119,Azerbaijan,29.9
120,Egypt,29.5
121,Nepal,29.0
122,Georgia,28.5
123,Kosovo (Disputed Territory),28.5
124,Venezuela,27.2
125,Tunisia,27.0
126,Kyrgyzstan,27.0
127,Uzbekistan,26.0
128,Syria,25.3
129,India,24.6
130,Afghanistan,24.2
131,Pakistan,22.0
