,0
1,"España [+] 2017 393.181 202.478 190.703 8,41‰ 1,31 -1,92%"
2,"Alemania [+] 2017 784.901 402.517 382.384 9,50‰ 1,57 -1,88%"
3,"Reino Unido [+] 2017 754.754 387.030 367.724 11,40‰ 1,74 -2,79%"
4,"Francia [+] 2017 770.045 394.058 375.987 11,50‰ 1,89 -1,56%"
5,"Italia [+] 2017 458.151 235.733 222.418 7,60‰ 1,32 -1,49%"
6,"Portugal [+] 2017 86.154 44.072 42.082 8,40‰ 1,38 1,47%"
7,"Estados Unidos [+] 2017 11,80‰ 1,77 -3,02%"
8,"Japón [+] 2017 7,60‰ 1,43 -0,69%"
9,"China [+] 2017 12,64‰ 1,68 0,48%"
10,"Andorra [+] 2016 634 364 373 8,80‰ 1,27 6,72%"
11,"Emiratos Árabes Unidos [+] 2017 10,46‰ 1,45 -2,88%"
12,"Afganistán [+] 2017 33,21‰ 4,63 -3,48%"
13,"Antigua y Barbuda [+] 2017 15,53‰ 2,00 -0,20%"
14,"Albania [+] 2017 30.869 16.208 14.661 10,70‰ 1,48 -3,90%"
15,"Armenia [+] 2017 37.700 19.731 17.969 12,70‰ 1,56 -3,70%"
16,"Angola [+] 2017 41,28‰ 5,60 -1,51%"
17,"Argentina [+] 2017 17,21‰ 2,28 -0,57%"
18,"Austria [+] 2017 87.633 45.253 42.380 10,00‰ 1,52 -0,65%"
19,"Australia [+] 2017 12,60‰ 1,74 -0,63%"
20,"Azerbaiyán [+] 2017 144.041 76.584 67.457 14,60‰ 1,75 -7,89%"
21,"Bosnia y Herzegovina [+] 2017 29.158 16.790 15.757 8,30‰ 1,28 -0,78%"
22,"Barbados [+] 2017 10,68‰ 1,62 0,12%"
23,"Bangladés [+] 2017 18,50‰ 2,06 -1,34%"
24,"Bélgica [+] 2017 119.690 61.179 58.511 10,50‰ 1,65 -1,79%"
25,"Burkina Faso [+] 2017 38,42‰ 5,27 -1,53%"
26,"Bulgaria [+] 2017 63.955 32.787 31.168 9,00‰ 1,56 1,30%"
27,"Baréin [+] 2017 14,37‰ 2,01 -1,13%"
28,"Burundi [+] 2017 39,65‰ 5,50 -1,73%"
29,"Benin [+] 2017 36,62‰ 4,91 -1,43%"
30,"Brunéi [+] 2017 15,38‰ 1,88 -1,78%"
